
TOP 5 CONFIGS (sorted by best_val_accuracy):
==================================================
{'drop_prob': 0.1, 'block_size': 5, 'weight_decay': 0.001, 'learning_rate': 0.01, 'momentum': 0.9, 'best_val_accuracy': 0.4935, 'final_val_accuracy': 0.4864, 'mean_gap': 0.12213676470588236}
{'drop_prob': 0.05, 'block_size': 3, 'weight_decay': 0.0001, 'learning_rate': 0.01, 'momentum': 0.9, 'best_val_accuracy': 0.4929, 'final_val_accuracy': 0.4728, 'mean_gap': 0.13524821428571426}
{'drop_prob': 0.05, 'block_size': 5, 'weight_decay': 0.0001, 'learning_rate': 0.01, 'momentum': 0.9, 'best_val_accuracy': 0.4927, 'final_val_accuracy': 0.4759, 'mean_gap': 0.1329982142857143}
{'drop_prob': 0.05, 'block_size': 5, 'weight_decay': 0.0001, 'learning_rate': 0.01, 'momentum': 0.85, 'best_val_accuracy': 0.4925, 'final_val_accuracy': 0.4647, 'mean_gap': 0.14392794117647056}
{'drop_prob': 0.1, 'block_size': 3, 'weight_decay': 0.001, 'learning_rate': 0.01, 'momentum': 0.85, 'best_val_accuracy': 0.4916, 'final_val_accuracy': 0.4908, 'mean_gap': 0.07499423076923077}
{'drop_prob': 0.05, 'block_size': 1, 'weight_decay': 0.001, 'learning_rate': 0.01, 'momentum': 0.85, 'best_val_accuracy': 0.4915, 'final_val_accuracy': 0.479, 'mean_gap': 0.0883375}
{'drop_prob': 0.15, 'block_size': 3, 'weight_decay': 0.0001, 'learning_rate': 0.01, 'momentum': 0.9, 'best_val_accuracy': 0.4914, 'final_val_accuracy': 0.4746, 'mean_gap': 0.1314578125}
{'drop_prob': 0.05, 'block_size': 1, 'weight_decay': 0.0001, 'learning_rate': 0.01, 'momentum': 0.9, 'best_val_accuracy': 0.4898, 'final_val_accuracy': 0.4817, 'mean_gap': 0.14665769230769232}
{'drop_prob': 0.15, 'block_size': 5, 'weight_decay': 0.0001, 'learning_rate': 0.01, 'momentum': 0.85, 'best_val_accuracy': 0.4897, 'final_val_accuracy': 0.4756, 'mean_gap': 0.11626842105263158}
{'drop_prob': 0.05, 'block_size': 5, 'weight_decay': 0.0005, 'learning_rate': 0.01, 'momentum': 0.9, 'best_val_accuracy': 0.4896, 'final_val_accuracy': 0.4774, 'mean_gap': 0.12327142857142857}
{'drop_prob': 0.05, 'block_size': 1, 'weight_decay': 0.0005, 'learning_rate': 0.01, 'momentum': 0.85, 'best_val_accuracy': 0.4893, 'final_val_accuracy': 0.4777, 'mean_gap': 0.11585357142857143}
{'drop_prob': 0.1, 'block_size': 3, 'weight_decay': 0.0005, 'learning_rate': 0.01, 'momentum': 0.85, 'best_val_accuracy': 0.4892, 'final_val_accuracy': 0.478, 'mean_gap': 0.12412058823529414}
{'drop_prob': 0.05, 'block_size': 1, 'weight_decay': 0.0005, 'learning_rate': 0.01, 'momentum': 0.9, 'best_val_accuracy': 0.4886, 'final_val_accuracy': 0.4804, 'mean_gap': 0.19779411764705881}
{'drop_prob': 0.1, 'block_size': 3, 'weight_decay': 0.0005, 'learning_rate': 0.01, 'momentum': 0.9, 'best_val_accuracy': 0.4885, 'final_val_accuracy': 0.4845, 'mean_gap': 0.06927954545454545}
{'drop_prob': 0.15, 'block_size': 5, 'weight_decay': 0.001, 'learning_rate': 0.01, 'momentum': 0.95, 'best_val_accuracy': 0.4885, 'final_val_accuracy': 0.4661, 'mean_gap': 0.14583690476190475}
{'drop_prob': 0.1, 'block_size': 5, 'weight_decay': 0.0001, 'learning_rate': 0.01, 'momentum': 0.9, 'best_val_accuracy': 0.488, 'final_val_accuracy': 0.47, 'mean_gap': 0.10854821428571428}
{'drop_prob': 0.1, 'block_size': 1, 'weight_decay': 0.0001, 'learning_rate': 0.01, 'momentum': 0.85, 'best_val_accuracy': 0.4877, 'final_val_accuracy': 0.4867, 'mean_gap': 0.10626923076923077}
{'drop_prob': 0.15, 'block_size': 1, 'weight_decay': 0.0001, 'learning_rate': 0.01, 'momentum': 0.9, 'best_val_accuracy': 0.4876, 'final_val_accuracy': 0.4676, 'mean_gap': 0.19685735294117648}
{'drop_prob': 0.1, 'block_size': 1, 'weight_decay': 0.0005, 'learning_rate': 0.01, 'momentum': 0.9, 'best_val_accuracy': 0.4871, 'final_val_accuracy': 0.4722, 'mean_gap': 0.17610625000000002}
{'drop_prob': 0.05, 'block_size': 1, 'weight_decay': 0.001, 'learning_rate': 0.01, 'momentum': 0.9, 'best_val_accuracy': 0.4859, 'final_val_accuracy': 0.4765, 'mean_gap': 0.1812470588235294}
{'drop_prob': 0.15, 'block_size': 1, 'weight_decay': 0.0005, 'learning_rate': 0.01, 'momentum': 0.9, 'best_val_accuracy': 0.4851, 'final_val_accuracy': 0.4751, 'mean_gap': 0.21233026315789474}
{'drop_prob': 0.1, 'block_size': 5, 'weight_decay': 0.0001, 'learning_rate': 0.01, 'momentum': 0.85, 'best_val_accuracy': 0.4848, 'final_val_accuracy': 0.4749, 'mean_gap': 0.08575178571428572}
{'drop_prob': 0.05, 'block_size': 3, 'weight_decay': 0.0005, 'learning_rate': 0.01, 'momentum': 0.9, 'best_val_accuracy': 0.4844, 'final_val_accuracy': 0.4767, 'mean_gap': 0.1610125}
{'drop_prob': 0.1, 'block_size': 5, 'weight_decay': 0.0005, 'learning_rate': 0.01, 'momentum': 0.9, 'best_val_accuracy': 0.4844, 'final_val_accuracy': 0.4787, 'mean_gap': 0.0909125}
{'drop_prob': 0.05, 'block_size': 3, 'weight_decay': 0.001, 'learning_rate': 0.01, 'momentum': 0.9, 'best_val_accuracy': 0.4836, 'final_val_accuracy': 0.4483, 'mean_gap': 0.12276071428571429}
{'drop_prob': 0.1, 'block_size': 1, 'weight_decay': 0.001, 'learning_rate': 0.01, 'momentum': 0.9, 'best_val_accuracy': 0.4836, 'final_val_accuracy': 0.4824, 'mean_gap': 0.16122031250000002}
